timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1713373200,Apr 17 2024 - 5:00pm,complete,N/A,GrIFK U23,Kirkkonummi,N/A,1,0.00,0.00,1.41,0.64,1,1,2,1,1,0,"29","90'5",7,4,-1,-1,-1,-1,-1,-1,-1,-1,8,8,4,4,4,4,-1,-1,54,46,0.00,0.00,1.34,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,5.50,0.00,1.44,2.10,0.00,0.00,0.00,Kauniaisten Keskuskenttä
1713460500,Apr 18 2024 - 5:15pm,complete,N/A,Gnistan / Ogeli,MPS,N/A,1,0.00,0.00,1.59,0.95,1,2,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,4.75,4.00,0.00,1.17,1.64,2.20,0.00,0.00,Mustapekka Areena
1713460500,Apr 18 2024 - 5:15pm,complete,N/A,HooGee,EIF II,N/A,1,0.00,0.00,1.36,1.73,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,4.75,3.60,0.00,1.17,0.00,2.00,0.00,0.00,N/A
1713460800,Apr 18 2024 - 5:20pm,complete,N/A,PPJ / Ruoholahti,VJS II,N/A,1,0.00,0.00,1.18,1.95,1,2,3,1,0,1,"58","4,88",6,2,-1,-1,-1,-1,-1,-1,-1,-1,12,6,5,4,7,2,-1,-1,62,38,0.00,0.00,1.49,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,4.20,3.10,0.00,1.33,1.57,0.00,0.00,0.00,Kartano tekonurmi
1713538800,Apr 19 2024 - 3:00pm,complete,N/A,NuPS,Kasiysi,N/A,1,0.00,0.00,1.73,0.59,0,0,0,0,0,0,"","",8,2,-1,-1,-1,-1,-1,-1,-1,-1,10,6,3,3,7,3,-1,-1,50,50,0.00,0.00,1.36,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,7.00,11.00,0.00,1.36,1.80,0.00,0.00,0.00,Kuoppanummi Nurmi
1713540600,Apr 19 2024 - 3:30pm,complete,N/A,Kontu,Ponnistus,N/A,1,0.00,0.00,1.73,1.36,1,2,3,0,0,0,"","",7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Talin jalkapallohalli
1713540600,Apr 19 2024 - 3:30pm,complete,N/A,HerTo,PPJ / Lauttasaari,N/A,1,0.00,0.00,0.36,1.18,0,5,5,0,0,0,"","47,58,63,78,88",2,3,-1,-1,-1,-1,-1,-1,-1,-1,3,15,1,9,2,6,-1,-1,50,50,0.00,0.00,0.41,1.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,4.20,1.67,0.00,1.36,1.57,0.00,0.00,0.00,N/A
1713540600,Apr 19 2024 - 3:30pm,complete,N/A,RiPS,SaPa,N/A,1,0.00,0.00,1.14,0.32,1,0,1,0,0,0,"56","",8,0,-1,-1,-1,-1,-1,-1,-1,-1,21,3,3,3,18,0,-1,-1,50,50,0.00,0.00,1.86,0.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.09,10.00,19.00,0.00,1.11,0.00,2.00,0.00,0.00,N/A
1713542400,Apr 19 2024 - 4:00pm,complete,N/A,Ponnistajat,PKKU II,N/A,1,0.00,0.00,1.27,1.64,3,2,5,1,1,0,"12,74,82","55,59",5,1,-1,-1,-1,-1,-1,-1,-1,-1,9,12,6,6,3,6,-1,-1,50,50,0.00,0.00,1.36,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,5.50,4.50,0.00,1.20,0.00,2.05,0.00,0.00,Kartano tekonurmi
1713544200,Apr 19 2024 - 4:30pm,complete,N/A,Kuusysi,Atlantis / PM,N/A,1,0.00,0.00,1.36,1.86,6,0,6,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lahden Kisapuisto
